Lang,Text,Author,Location,Service
en,rt tender fi coming v smart vault work like defi saving account utilize protocol user depo,canopy_mg,"Moon, PA",savings
en,pmsvanidhi mohua india hardeepspuri mp kaushal secretary mohua pib india mygovindia account canara bank saket new delhi manager approving second loan saying credit score low credit score low first loan approved first loan canarabank pmsvanidhi mygovindia,bhandari226,"New Delhi, India",loan
en,bajaj allianz life insurance partner cricket star shubman gill http co whuj kwhtj mediainfoline bajajallianzlifeinsurance partner cricket star shubmangill,MediaInfoline,"Noida, India",insurance
en,taken loan axis bank going good till got call hdfc loan le interest agreed balance transfer confirmed hdfc employee extra charge need pay loan closure amount get deducted,ExploreWit20328,,loan
en,p lytics bgoldgrab responded question card over saying bet unders see confusion right like trying rude conversation choppy consistent saying card line originally jumping line lol odd http co ysfnrypofy,CopelandFFWorld,,card
en,emmanue woye even hsbc bank sent mail advertising loan clearly stated cannot use loan open minded understand international institution operate emotion,kamakarzy247,"Leicester, United Kingdom",loan
en,eldho mv hi request share number received call along product name credit card loan via dm check provide assistance referred matter regret inconvenience caused regard team axis bank http co xhhtxwg,AxisBankSupport,,loan
en,check paypal mobile credit card reader mastercard visa discover american express new http co fnmgkwcjmn ebay via ebay,metalrulestv,"Moorestown, New Jersey",card
en,rt sfdb jfc florida going investigate bud light insurance rate soaring people sw florida still living tent af,ChrisAlex13927,"Newark, NJ",insurance
en,stillgray insurance corporation eat cost bread dollar,thePainSearch,Nothing is an endorsement,insurance
en,rupay credit card live upi axis bank bank baroda canara bank hdfc bank icici bank indian bank kotak mahindra bank punjab national bank sbi card union bank yes bank truly revolutionary,Ravisutanjani,ravisutanjani@gmail.com,card
en,hdfcbank care got following sm today however hdfc bank credit card could pls look http co ymuyicsd,Dave44335260,"Bengaluru ,South India",card
en,new md lic government announced appointment satpalbhanoo one managing director lifeinsurancecorporation http co bvtoqcwdoy,ZeeBusiness,India,insurance
en,gautammandge hi gautam understand concern pertains bajaj allianz general insurance please reach team bajajallianz assistance,BajajAllianzLIC,"Pune, Maharashtra, India",insurance
en,rt bajaj finance bajaj finance savdhaanraheinsaferahein beware fraudsters use fakeads loan know step prevent,harsh_sansanwal,"New Delhi, India",loan
en,higher official rbi lic general insurance corporation nabard sidbi employee insurance scheme eis employee provident fund etc recruited upsc union civil service examination,SanjayGaurav7,"Dehradun, India",insurance
en,sbicard connect creating complication need call please make provision portal enable sbi credit card customer pay card bill indian bank debit card master card solve problem simple,RajendraKadu16,,card
en,rt stoute sa listen democratic alliance da president john steenhuisen allegedly found loophole legal system use cap,pvks_xxl,"Bloemfontein, South Africa",loan
en,one hdfc bank hdfcbank care called given update regarding hdfc credit card dispute complaint bookingcom http co veyq hsb,Int3rn3tUs3r,,card
en,bajaj finserv rblbank bajaj finance update guy sleeping like previous emi card thing,DeepakKamboj79,,emi
en,received sbi credit card fir bhi bill bhej dete hai sbi bank bale http co zyypeobo,chandrawat58851,"Gwalior, India",card
en,get free year time prime membership following eligible credit card axis bank ace credit card hdfc regalia first credit card air india sbi signature credit card sbi pulse credit card eazydiner indusind bank credit card indusind bank legend credit card http co ymt dig,dealztrendz,India,card
en,sajalag hi sajal concern looked please allow u time connect share update caringly team bajaj allianz general insurance,BajajAllianz,Pune,insurance
en,rt akshay mar week submitting bajajallianzlic approving car insurance claim said sent dl rto v,mail4jains,"Vasundhara, Ghaziabad",insurance
en,ajitpardeshi aka diis also proxy mf insurance company like lic retailer sip must percent return bad last yr,umeshbatra90,"New Delhi, India",insurance
en,hdfc bank started becoming worst bank way generate first time pin debit card without going atm card app shit work neither way using netbanking,devanshchoubey_,"Hyderabad, India",card
en,rt rajivmehta reason given hdfc declining accidental claim always check term policy condition blindly buying,kavishguptaji,"Lucknow, India",insurance
en,rt danielgoyal much would private health insurance cost cover service nh provides policy exists anywhe,bren4762,,insurance
en,kotakgeneral request please buy insurance kotak mahindra scam never give money back scamalert,ArpitRa12715246,,insurance
en,rt drprashantmish battle lost time forced car dealer want car loan sbi psu bank mo,AmyMinc24221396,reading,loan
en,rt iciciprulife world leading batsman surya kumar got field covered batting similarly challenge,GopiVer79968816,,insurance
en,grow saving certificate deposit cd enjoy great rate secure financial future learn cd option start earning today learn http co yu j efz use month cd apy leavenworthks http co jjvy wzsbd,FrontierCCU,"Leavenworth, KS",savings
en,reset transaction password pnb http co qivturfgku talkersmoney finance money investing success business entrepreneur rich stock sensex nifty mutualfunds insurance bank personalfinance financecoach,Talkers_Money,India,insurance
en,axis bank support rbi principal nodal officer added debit interest amp gst charge axis credit card without informing guy added charge refund amount close worst fraud credit card http co wkrkchdt http co yeerjqbggn,AnuKumari0223,,card
en,card offer inr axis bank credit debit card card offer inr p hdfc bank credit card order special inr limited unit till stock end exercised together understood nothingphone,Abhi_Banarasi,India,card
en,rt shuragorilla good night x oppailov r sluthentaicream ecchiimperio himarinlink waifukiwi hentaigod xx nicocha hia offi,Rimurutempest20,,emi
en,goldman sachs q profit drop yoy partly due partnership apple bank reportedly trying transition apple credit card portfolio american express goldmansachs apple earnings,gptnewstracker,"Palo Alto, CA",card
en,nse bajajhind month tf good time buy dip long term investment bajaj hindusthan sugar ltd price likely reach curved support would represent good buying opportunity http co fzlp ijxjk bajajhind nse stock http co jcbwlsfr p,idigitalbrain,India,investment
en,amazonhelp yesterday ordered sbi credit card bank offer today offer also available still received refund,Prajwal32888870,"Karad, India",card
en,fameupmoney dear sir wish inform loan created amazon buy pay later option bnpl co lending capital float karur vysya bank limited amazon buy pay later option provided customer hassle free way get instant,KarurVysyaBank_,India,loan
en,chhangaamit hi amit apology inconvenience caused connecting shortly respect concern caringly team bajaj allianz general insurance,BajajAllianz,Pune,insurance
en,mosahebahmad hi mosaheb confirm query related sbi debit card sbi credit card handle query related sbi credit card sbi debit card bank related query please connect theofficialsbi visit http co mcnedpaxt,SBICard_Connect,India,card
en,netflixindia icicibank trying renew netflix subscription parent india using icici bank credit debit card failing secure page provide otp loading guy think fixed,sajjan12,"Scottsdale, AZ",card
en,icicibank icici direct icicibank care level attention n service ur bank laughable new credit card spelling change n got spelling card delvrd jst platinum cust n rd rated service chanda k left behind disaster team idiot,NeerajR28231601,"नई दिल्ली, भारत",card
en,activate pnb net banking http co wxpuzrdjx talkersmoney finance money investing success business entrepreneur rich stock sensex nifty mutualfunds insurance bank personalfinance financecoach,Talkers_Money,India,insurance
en,rt soumitra india amp genuine fraud company reliance general insurance reliancegenin republic bharat hdfclife ndtvpro,consumr_rights,Online,insurance
en,idbi bank sanction loan facility r crore star housing finance ltd starhousingfinance loanfacility sanction idbibank http co rbvrobpgi http co fzfossiqzk,equitybulls,"Chennai, India",loan
en,rt icici direct financial service including hdfc bank icici bank kotak bank etc hold significant weightage nift,pbmech,Stanford Alum,loan
en,rt vimleshrajbansi capitecbanksa loan statement domestic helper loan amount r initiation fee p,Max190889,South Africa ,loan
en,bajaj finserv fraud activity employee using service past yr even single emi bounced back need resolution asap,manikhaneja,India,emi
en,louisianalp ninaturner panel set max insurer pay medication practice known reference pricing since german resident public health insurance plan tightly regulated many way insurance provider compete one another,T_E_S_L_A_,,insurance
en,pankajku hi pankaj concern looked please allow u time connect share update caringly team bajaj allianz general insurance,BajajAllianz,Pune,insurance
en,esteemed ashwinivaishnaw sir train tragedy crore rupeesdamagedby anti national son dr sanjay raj availed education loan doctor pnb mahatab road cuttack worked hard save life dhh http co bjwlc xmmg bank torture pmoindia help,drrkmohanty,India,loan
en,hdfc bank kindly inform bank insta loan close date june next month deduct emi close loan telephonic discus customer care provide closer amt paid auto emi deduct account kindly help,ValaSahadevsinh,Mahuva,loan
en,rt danielgoyal much would private health insurance cost cover service nh provides policy exists anywhe,louisevla,London,insurance
en,rt radicaladem bank lending yoy across consumer private debt fading quickly amid bank tightening loan demand fading meanwhile b,InvariantPersp1,,savings
en,rt hasmit k drprashantmish last year taken car loan canara icici pnb previously obc one stood,shailen19993373,,loan
en,going puerto rico november sexy celebrate bday updating wishtender moron guided deposit saving remember nothing without findom finsub paypigs walletslut cashapp kink drain spoiled simp brat cashslave,Goddess_jvm,Tribute to speak 💸,savings
en,rt datta arvind many bank chasing jio finance launch co branded credit card surprised one launched n,rajgorrajesh4u,"Mumbai, India",card
en,rt hstopdecks new shaman card titan expansion revealed thisiswronchi thorignir drake http co jxizjunvxj hearthstone,Shissan7,,card
en,syedishanahmad hi syed regret inconvenience caused open help please share specific concern related loan via dm may assist earliest regard team axis bank http co xhhtxwg,AxisBankSupport,,loan
en,rbi hdfc bank amp axis bank still forcing u buy health life insurance getting loan selling compulsory get disbursement loan sold lakh insurance loan lakh please take strict action insurance scam,InvestWithRishi,,loan
en,mo ghar loan amount r lakh sanctioned sri abhimanyu da village uttarsasan jaraka gp block dharmasala sanction order handed benificiary presence concerned bm uco bank bdo dharmasala http co tf brmib h,drdajajpur,,loan
en,rt tonetalks auto insurance price united state rise showing sign slowing soon insurer se,empeejohnson,Maryland ,insurance
en,rt karna ocw mass credit card cancellation axis bank,Ratnesh_kumar9,Planet Earth ,card
en,sudhirp please avoid sharing sensitive information may misused fraudsters result financial loss personal detail like mobile number id address proof emi card number etc social medium platform please share via dm,Bajaj_Finance,India,emi
